"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Arson","15","0","Borno State, Nigeria","Boko Haram insurgents set fire on many houses and burned them down while killing at least 15 people in a spate of attacks at villages of the Borno State, Nigeria.[1][2]","Boko Haram","Boko Haram insurgency"
"1","Shooting","6 (+3)","0","Gujba, Nigeria","6 Nigerian soldiers were killed when 3 suspected Boko Haram insurgents attacked an army camp in the town of Gujba in the Yobe State, according to the Nigerian Army the 3 suspected insurgents were later neutralized.[3]","Boko Haram (suspected)","Boko Haram insurgency"
"1","Grenade attack","0","2","Kabul, Afghanistan","Militant assailants hurled a grenade into a police station injuring 2 officers in the capital of Afghanistan, Kabul.[4]","Haqqani network (suspected)","War in Afghanistan"
"1","Bombing","0","2","Baiji, Iraq","A land mine struck a vehicle of a governor near Baiji. Two of his bodyguards were injured while the governor escaped unscathed.[5]","Islamic State (suspected)","Iraqi insurgency"
"1","Car bombing","0","0","Mogadishu, Somalia","A car bomb exploded near the parliament in the capital of Somalia, Mogadishu no reports of injuries or deaths have been reported so far. Al-Shabaab was most likely behind the attack.[6]","Al-Shabaab","Somali Civil War"
"1","Artillery shelling, shooting","4 (+1)","0","Idlib Governorate, Syria","Tahrir-al-Sham militants attacked Syrian soldiers by shellings with artillery and shootings in the eastern countryside of Idlib Province, killing at least 4 soldiers. A Tahrir al Sham militant was also killed in the attacks.[7][8]","Tahrir al-Sham","Syrian Civil War"
"1","Bombing","1","7","Mosul, Iraq","A bomb targeting a military patrol exploded in West Mosul killing a soldier and injuring at least seven more. the Islamic State was behind the attack.[9]","Islamic State","Iraqi insurgency"
"1","Artillery shelling","3","4","Hama Governorate, Syria","3 Syrian servicemen were killed and 4 were wounded when militants shelled with artillery several camps in the Hama Province of Syria.[10]","Guardians of Religion Organization (suspected)","Syrian Civil War"
"1","Shooting","2","0","Kishtwar, India","A BJP Leader and his brother were shot dead by militants In Jammu and Kashmir's Kishtwar. According to police Hizbul Mujahideen were behind the attack.[11][12][13]","Hizbul Mujahideen","Insurgency in Jammu and Kashmir"
"1","Shooting","5","2","Sadiya, India","Tinsukia killings: Suspected militants shot dead five youths and injured at least 2 more in an attack in Sadiya, India. Police suspect that United Liberation Front of Asom-Independent ULFA-I was behind the attack.[14][15][16]","United Liberation Front of Assam (suspected)","Insurgency in Northeast India"
"2","Mass shooting","7","14","Minya Governorate, Egypt","2018 Minya bus attack: At least seven Christian Copts were killed and 14 injured when gunmen opened fire on them when they were travelling by bus from the city of Sohag to St. Samuel's monastery. Islamic State claimed responsibility.[17][18][19]","Islamic State","Insurgency in Egypt"
"2","Shooting","2","0","Yaring District, Thailand","Two volunteer rangers were shot dead by multiple gunmen in a market by suspected insurgents in South Thailand's Yaring District.[20]","Patani United Liberation Organisation (suspected)","South Thailand insurgency"
"2","Shooting, hostage taking","3 (+4)","17","Faryab Province, Afghanistan","The Taliban attacked a key base in the Faryab Province killing at least 3 security forces and taking at least 17 hostage. At least 4 Taliban militants were also killed in the clashes.[21][22]","Taliban","War in Afghanistan"
"2","Bombing","0","2","Kanker district, India","Two Border Security Force members were wounded when an improvised explosive device detonated in the Kanker District, Chhattisgarh.[23]","CPI","Naxalite–Maoist insurgency"
"2","Shooting","4 (+2)","0","Rabia, Iraq","Clashes erupted when Islamic State militants tried to infiltrate to Iraq from the Syrian border. At least four Iraqi soldiers were killed and two Islamic State militants were killed in the clashes that took place in the Rabia District bordering Syria.[24]","Islamic State","Spillover of the Syrian Civil War"
"2","Shooting, targeted assassination","1","0","Raqqa, Syria","ISIL gunmen assassinated the prominent tribal leader Sheikh Basheer Faisal al-Huwaidi in broad daylight in Raqqa, Syria.[25]","Islamic State","Syrian Civil War"
"2","Bombing","11","0","Deir ez-Zor, Syria","11 security officials including 7 Russian soldiers were killed in their headquarters at Deir ez-Zor when a land mine exploded as they were touring the building.[26][27]","Islamic State (suspected)","Syrian Civil War"
"2","Artillery shelling","2","13","Latakia Governorate, Syria","Two Syrian soldiers were killed and 13 were wounded when Syrian militants shelled by artillery several parts of Syria's Latakia Province.[28]","Syrian Militants","Syrian Civil War"
"2","Bombing, shooting","4","0","Mogadishu, Somalia","At least four Somali soldiers were killed in a bomb and shooting attack targeting a military armored vehicle in a Mogadishu neighborhood as they were traveling to the Hiliwaa area. Al Shabaab claimed responsibility.[29]","Al-Shabaab","Somali Civil War"
"3","Shooting","1","1","Kabul, Afghanistan","An US soldier was killed and another one was injured in an insider shooting attack that occurred in Kabul.[30][31]","Taliban","War in Afghanistan"
"3","Bombings","3","0","Diyala Governorate, Iraq","Three people including a farmer and his son were killed in two bomb blasts Iraq's Diyala Province. An Iraqi soldier was also killed in the bomb attacks.[32]","Islamic State (suspected)","Iraqi insurgency"
"3","Stabbing","0","6","Tiko, Cameroon","Militants chopped the fingers off six plantation workers. Separatists had ordered a strike to protest the reelection of President Biya, and allegedly mutilated the workers as punishment for defying those orders and going to wor[33]","Ambazonia Defence Forces (suspected)","Anglophone crisis"
"3","Shootings","3","Several","Deir ez-Zor Governorate, Syria","A senior SDF commander was shot dead by unidentified gunmen and in the meantime 2 other SDF were killed near an oil field. All of the attacks occurred in the Deir ez-Zor Governorate.[34]","Islamic State (suspected)","Syrian Civil War"
"3","Bombing","4","0","Mogadishu, Somalia","Three Somali soldiers were killed and one civilian was killed when a landmine struck a vehicle carrying them in the Weydow Area near Mogadishu. No group has claimed responsibility yet but Al-Shabaab is suspected.[35][36]","Al-Shabaab (suspected)","Somali Civil War"
"3","Shooting, arson, kidnapping","7","15 (kidnapped)","North Kivu, Democratic Republic of the Congo","Allied Democratic Forces Rebels killed at least 7 people and abducted 15 others including 10 children in a series of raids and attacks in the DRC's North Kivu province.[37]","Allied Democratic Forces","Allied Democratic Forces insurgency"
"3","Shooting","11","9","Djugu, Democratic Republic of the Congo","Armed Mai-Mai gunmen attacked a military camp in Djugu with rifles and arrows killing at least 11 people and injuring 9. According to witnesses, civilians were among the dead and at least 3 soldiers were also killed.[38]","Mai-Mai","Ituri conflict"
"3","Arson, looting","0","0","Macomia District, Mozambique","Suspected Ansar al Sunna insurgents looted houses and then they set on fire at least 45 houses in an isolated village in the Macomia District. No casualties were reported in the incident.[39][40]","Ansar al Sunna (suspected)","Islamist insurgency in Mozambique"
"4","Kidnapping","0","79","Nkwen, near Bamenda, Cameroon","PSS Nkwen kidnapping: At least 79 students and four staff members were kidnapped from a school in Nkwen, near Bamenda. The kidnappers transported everyone to Bafut, slipping past several security checkpoints on the way. The purpose of the kidnapping was to tell the students to stop going to school, a message they were tasked to convey to other schools as well. Cameroonian authorities announced the launching of an operation to locate and free the students. All 79 students were released without ransom three days later, with the Cameroonian Army claiming the kidnappers did so because they realized they were surrounded and had no other alternative.  While the kidnappers identified as ""Amba Boys"" and the government blamed the separatists, the Ambazonia Self-Defence Council claimed that they not only had nothing to do with the kidnappings, but had also sent its own fighters to try to locate the children.[41]","Amba Boys","Anglophone crisis"
"4","Car bombing","0","5","Al-Shirqat, Iraq","Five Iraqis including three students were injured in a car bomb blast outside a school in the Iraqi city of Shirqat. The school was heavily damaged.[42]","Islamic State (suspected)","Iraqi insurgency"
"4","Suicide car bombing, shooting","12 (+1)","20","Hajin, Syria","At least 12 US backed SDF fighters were killed and 20 injured in a large scale Islamic State attack near Hajin, that began with a suicide car bomber and subsequent clashes afterwards.[43][44]","Islamic State","Syrian Civil War"
"4","Shooting, assassination attempt","0","1","Al Khums, Libya","A top deputy commander of the Libyan Sirte Protection and Security Room Ali Irfidah, was left seriously wounded in an assassination attempt when armed gunmen opened fire while he was on his car in the Libyan city of Al Khums.[45]","Libya Shield Force (suspected)","Libyan Civil War"
"4","Car bombing","1","10","Raqqa, Syria","A massive car bomb exploded in the city of Raqqa, and according to local sources killing at least a person and injuring 10 more including members of the SDF. The Islamic State claimed responsibility for the attack.[46][47][48]","Islamic State","Syrian Civil War"
